Word,Frequency,IDF,Score
science,324,3.079,12.9563
scientific,581,1.693,12.77424
ontology,190,3.079,7.59783
scanning,184,3.079,7.3579
physics,221,2.386,6.84826
technology,214,2.386,6.63135
knowledge,298,1.47,5.68851
materials,217,1.981,5.58176
education,180,2.386,5.57777
kyltok,133,3.079,5.31848
information,354,1.134,5.21076
object,162,2.386,5.01999
software,204,1.693,4.48527
coordinate,144,2.386,4.46222
pattern,215,1.47,4.10413
texture,102,3.079,4.07884
protein,129,2.386,3.9974
printing,98,3.079,3.91888
professional,96,3.079,3.8389
program,147,1.981,3.78119
computer,146,1.981,3.75547
code,170,1.693,3.73773
drug,143,1.981,3.6783
language,192,1.47,3.66508
name,140,1.981,3.60113
funding,139,1.981,3.57541
researchers,184,1.47,3.51237
semantic,113,2.386,3.5016
text,209,1.288,3.49477
chemistry,85,3.079,3.39903
public,178,1.47,3.39784
policy,154,1.693,3.38594
discovery,152,1.693,3.34197
design,174,1.47,3.32148
chemical,106,2.386,3.28469
specialists,81,3.079,3.23908
students,146,1.693,3.21005
may,217,1.134,3.19417
processing,142,1.693,3.1221
engineering,100,2.386,3.09876
technologies,138,1.693,3.03416
correct,157,1.47,2.99697
molecular,149,1.47,2.84426
learning,170,1.288,2.84264
informatization,71,3.079,2.83919
sentence,69,3.079,2.75921
forces,89,2.386,2.7579
prompts,68,3.079,2.71922
particle,123,1.693,2.70436
structure,208,1.0,2.70102
rasterization,67,3.079,2.67924
message,67,3.079,2.67924
society,86,2.386,2.66494
theory,159,1.288,2.6587
work,204,1.0,2.64908
query,85,2.386,2.63395
photogrammetry,65,3.079,2.59926
device,100,1.981,2.57224
coordinates,112,1.693,2.4625
educational,111,1.693,2.44052
creation,110,1.693,2.41853
handbook,60,3.079,2.39932
polymer,60,3.079,2.39932
patterns,161,1.134,2.36986
sciences,76,2.386,2.35506
set,180,1.0,2.33742
world,104,1.693,2.28661
field,155,1.134,2.28155
quality,154,1.134,2.26683
programs,73,2.386,2.2621
plt,56,3.079,2.23936
tasks,132,1.288,2.20723
camera,55,3.079,2.19937
shot,85,1.981,2.1864
creating,99,1.693,2.17668
web,83,1.981,2.13496
synthesis,97,1.693,2.1327
sequence,111,1.47,2.11888
social,111,1.47,2.11888
create,126,1.288,2.1069
objects,125,1.288,2.09018
economic,106,1.47,2.02343
screen,65,2.386,2.0142
concepts,91,1.693,2.00078
languages,49,3.079,1.95944
entity,49,3.079,1.95944
computational,117,1.288,1.9564
nations,63,2.386,1.95222
gravitational,63,2.386,1.95222
training,132,1.134,1.94299
domain,116,1.288,1.93968
tools,116,1.288,1.93968
material,100,1.47,1.9089
printer,47,3.079,1.87946
resources,85,1.693,1.86886
provide,143,1.0,1.85695
competitiveness,46,3.079,1.83948
output,96,1.47,1.83254
understanding,141,1.0,1.83098
nature,59,2.386,1.82827
need,123,1.134,1.81052
productivity,70,1.981,1.80057
templates,45,3.079,1.79949
ctg,45,3.079,1.79949
outreach,45,3.079,1.79949
names,58,2.386,1.79728
form,122,1.134,1.7958
properties,122,1.134,1.7958
modern,81,1.693,1.78092
solution,93,1.47,1.77527
label,69,1.981,1.77484
test,120,1.134,1.76636
skills,57,2.386,1.76629
texturing,44,3.079,1.7595
activities,92,1.47,1.75619
technological,68,1.981,1.74912
accuracy,104,1.288,1.73903
applications,91,1.47,1.7371
molecule,79,1.693,1.73694
word,56,2.386,1.73531
reaction,67,1.981,1.7234
allows,103,1.288,1.7223
affinity,43,3.079,1.71951
words,78,1.693,1.71496
points,132,1.0,1.71411
natural,102,1.288,1.70558
ask,42,3.079,1.67952
studies,129,1.0,1.67515
point,128,1.0,1.66216
user,87,1.47,1.66074
necessary,87,1.47,1.66074
formula,64,1.981,1.64623
prediction,98,1.288,1.6387
potential,126,1.0,1.63619
human,96,1.288,1.60526
open,96,1.288,1.60526
texts,40,3.079,1.59954
formulas,40,3.079,1.59954
growth,72,1.693,1.58304
entities,51,2.386,1.58037
binding,51,2.386,1.58037
file,71,1.693,1.56105
step,119,1.0,1.54529
scan,38,3.079,1.51957
possible,116,1.0,1.50634
input,102,1.134,1.50141
ability,102,1.134,1.50141
type,102,1.134,1.50141
problems,89,1.288,1.48821
content,89,1.288,1.48821
conditions,101,1.134,1.48669
ontological,37,3.079,1.47958
photographs,37,3.079,1.47958
list,77,1.47,1.46985
scientists,76,1.47,1.45076
innovation,56,1.981,1.44045
capabilities,86,1.288,1.43804
target,86,1.288,1.43804
group,97,1.134,1.42781
database,85,1.288,1.42132
following,109,1.0,1.41544
sequences,74,1.47,1.41258
formation,84,1.288,1.4046
provided,108,1.0,1.40245
print,35,3.079,1.3996
electronic,63,1.693,1.38516
dimensional,82,1.288,1.37116
coding,44,2.386,1.36346
sin,62,1.693,1.36317
inorganic,34,3.079,1.35961
state,81,1.288,1.35443
task,81,1.288,1.35443
