Word,Frequency,IDF,Score
learning,1278,1.288,40.04131
clustering,433,1.693,17.83821
cid,715,1.0,17.39702
emulator,240,2.386,13.9349
learner,149,3.079,11.16418
curves,307,1.47,10.98059
curve,296,1.47,10.58715
machine,274,1.47,9.80026
fairness,126,3.079,9.44085
active,293,1.288,9.18005
students,188,1.693,7.745
neural,141,1.981,6.79571
training,244,1.134,6.72964
online,192,1.288,6.0156
wise,114,1.981,5.4944
algorithm,169,1.288,5.29498
point,211,1.0,5.13394
set,207,1.0,5.03662
student,104,1.981,5.01244
fair,84,2.386,4.87722
label,95,1.981,4.57867
climate,121,1.47,4.32785
stream,88,1.981,4.24129
fuzzy,70,2.386,4.06435
streams,54,3.079,4.04608
dataset,137,1.134,3.77853
deep,103,1.47,3.68404
classification,101,1.47,3.61251
learners,60,2.386,3.48373
means,111,1.288,3.47777
iteration,59,2.386,3.42566
labeled,59,2.386,3.42566
cluster,120,1.134,3.30966
points,136,1.0,3.30908
strategy,80,1.693,3.29574
prediction,104,1.288,3.25845
drift,56,2.386,3.25148
sampling,102,1.288,3.19579
learn,89,1.47,3.1833
template,66,1.981,3.18097
downscaling,64,1.981,3.08458
arxivpreprintarxiv,63,1.981,3.03638
anchor,52,2.386,3.01923
algorithms,96,1.288,3.0078
educational,73,1.693,3.00737
statistical,95,1.288,2.97647
classifier,51,2.386,2.96117
budget,61,1.981,2.93999
stopping,39,3.079,2.92217
labeling,39,3.079,2.92217
abs,50,2.386,2.90311
datasets,101,1.134,2.78563
anchors,37,3.079,2.77231
privacy,56,1.981,2.69901
framework,86,1.288,2.69449
instances,65,1.693,2.67779
concept,74,1.47,2.64679
clusters,84,1.288,2.63182
may,94,1.134,2.59257
saturation,44,2.386,2.55473
sat,43,2.386,2.49667
train,60,1.693,2.47181
network,78,1.288,2.44384
applications,68,1.47,2.43218
uncertainty,88,1.134,2.42708
sample,99,1.0,2.40882
size,86,1.134,2.37192
distribution,96,1.0,2.33582
supervised,48,1.981,2.31343
utility,56,1.693,2.30702
input,83,1.134,2.28918
spatial,83,1.134,2.28918
function,93,1.0,2.26283
trained,71,1.288,2.22452
official,38,2.386,2.20636
test,78,1.134,2.15128
applied,77,1.134,2.1237
features,77,1.134,2.1237
networks,77,1.134,2.1237
statistics,77,1.134,2.1237
com,87,1.0,2.11684
weights,50,1.693,2.05984
available,74,1.134,2.04096
resolution,73,1.134,2.01338
sources,71,1.134,1.95822
unlabeled,26,3.079,1.94811
classifiers,33,2.386,1.91605
regression,61,1.288,1.9112
selection,69,1.134,1.90306
accuracy,60,1.288,1.87987
domain,60,1.288,1.87987
