Word,Frequency,IDF,Score
climate,2771,1.182,27.96167
precipitation,1214,1.693,17.54302
temperature,1231,1.0,10.50628
downscaling,609,1.693,8.80041
global,731,1.405,8.76856
southern,305,2.792,7.26723
forcing,497,1.693,7.18195
bias,518,1.182,5.22705
ocean,207,2.792,4.93218
resolution,441,1.182,4.45005
crop,247,2.099,4.42405
simulations,425,1.182,4.2886
heat,424,1.182,4.27851
spatial,421,1.182,4.24824
emissions,293,1.693,4.23402
warming,351,1.405,4.21035
period,411,1.182,4.14733
annual,281,1.693,4.06062
daily,399,1.182,4.02624
historical,398,1.182,4.01615
aerosol,223,2.099,3.99418
downscaled,218,2.099,3.90463
variability,385,1.182,3.88497
regional,369,1.182,3.72351
trends,430,1.0,3.66994
fire,149,2.792,3.55022
scenarios,347,1.182,3.50152
aerosols,142,2.792,3.38343
cid,388,1.0,3.31148
rainfall,182,2.099,3.25983
projections,321,1.182,3.23915
grid,268,1.405,3.21474
regions,375,1.0,3.20053
land,220,1.693,3.17913
atmospheric,219,1.693,3.16468
monthly,218,1.693,3.15023
summer,217,1.693,3.13578
www,357,1.0,3.04691
winter,170,2.099,3.04489
indices,166,2.099,2.97325
statistical,283,1.182,2.8557
meteorological,157,2.099,2.81205
moisture,156,2.099,2.79414
surface,323,1.0,2.75673
variable,272,1.182,2.7447
century,228,1.405,2.73493
sea,188,1.693,2.71671
projected,226,1.405,2.71094
com,316,1.0,2.69698
correction,224,1.405,2.68695
variables,314,1.0,2.67991
ensemble,223,1.405,2.67495
extreme,309,1.0,2.63724
northern,110,2.792,2.62097
maximum,259,1.182,2.61352
ice,145,2.099,2.59712
available,255,1.182,2.57316
air,177,1.693,2.55776
temperatures,210,1.405,2.51901
scale,291,1.0,2.48361
across,291,1.0,2.48361
reanalysis,138,2.099,2.47174
snow,103,2.792,2.45418
water,240,1.182,2.4218
humidity,135,2.099,2.418
energy,277,1.0,2.36413
information,232,1.182,2.34107
climatic,128,2.099,2.29263
region,268,1.0,2.28731
conditions,268,1.0,2.28731
events,267,1.0,2.27878
streamflow,95,2.792,2.26356
weather,263,1.0,2.24464
scenario,220,1.182,2.21998
cloud,151,1.693,2.18204
drying,91,2.792,2.16826
wind,150,1.693,2.16759
term,250,1.0,2.13369
anthropogenic,119,2.099,2.13143
biases,147,1.693,2.12424
due,246,1.0,2.09955
western,88,2.792,2.09677
extremes,144,1.693,2.08089
hydrological,116,2.099,2.07769
seasonal,173,1.405,2.07519
response,242,1.0,2.06541
may,239,1.0,2.03981
output,170,1.405,2.0392
long,238,1.0,2.03127
maize,85,2.792,2.02529
multi,237,1.0,2.02274
relative,235,1.0,2.00567
circulation,137,1.693,1.97973
dry,110,2.099,1.97023
stations,164,1.405,1.96723
sensitivity,190,1.182,1.91726
distribution,223,1.0,1.90325
cli,105,2.099,1.88067
radiative,78,2.792,1.8585
differences,184,1.182,1.85671
index,217,1.0,1.85204
drought,103,2.099,1.84485
anomalies,101,2.099,1.80902
gmd,99,2.099,1.7732
studies,206,1.0,1.75816
reference,174,1.182,1.7558
ing,205,1.0,1.74962
supporting,145,1.405,1.73932
heatwave,96,2.099,1.71947
yield,143,1.405,1.71533
agreement,95,2.099,1.70156
mortality,95,2.099,1.70156
wheat,71,2.792,1.69172
net,166,1.182,1.67508
soil,92,2.099,1.64782
warm,114,1.693,1.64737
arid,69,2.792,1.64406
scientificdata,67,2.792,1.59641
feedbacks,89,2.099,1.59409
set,186,1.0,1.58746
minimum,157,1.182,1.58426
correlation,185,1.0,1.57893
climatological,88,2.099,1.57618
further,156,1.182,1.57417
respectively,182,1.0,1.55333
tion,181,1.0,1.54479
cooling,86,2.099,1.54036
season,127,1.405,1.5234
periods,105,1.693,1.51731
carbon,126,1.405,1.51141
temporal,147,1.182,1.48335
article,145,1.182,1.46317
radiation,101,1.693,1.45951
acp,61,2.792,1.45345
elevation,61,2.792,1.45345
deep,143,1.182,1.44299
standard,143,1.182,1.44299
gridded,80,2.099,1.43289
mid,80,2.099,1.43289
electricity,99,1.693,1.43061
dataset,141,1.182,1.42281
area,166,1.0,1.41677
pathways,98,1.693,1.41616
tropical,79,2.099,1.41498
forcings,79,2.099,1.41498
elementa,59,2.792,1.40579
wave,117,1.405,1.40345
simulated,139,1.182,1.40262
climatology,97,1.693,1.40171
pattern,116,1.405,1.39145
terms,162,1.0,1.38263
associated,137,1.182,1.38244
ppm,58,2.792,1.38196
basin,77,2.099,1.37916
health,114,1.405,1.36746
trend,157,1.0,1.33996
dec,56,2.792,1.33431
local,156,1.0,1.33142
experiment,131,1.182,1.3219
burned,55,2.792,1.31048
seasons,73,2.099,1.30751
negative,152,1.0,1.29728
emission,72,2.099,1.2896
positive,151,1.0,1.28875
consumption,89,1.693,1.2861
calculated,107,1.405,1.2835
series,150,1.0,1.28021
consistent,126,1.182,1.27144
greenhouse,70,2.099,1.25378
last,123,1.182,1.24117
rain,52,2.792,1.239
encoder,52,2.792,1.239
learning,144,1.0,1.229
threshold,102,1.405,1.22352
decoder,51,2.792,1.21518
including,142,1.0,1.21193
zone,67,2.099,1.20005
dynamical,83,1.693,1.1994
quantile,83,1.693,1.1994
austral,50,2.792,1.19135
applied,139,1.0,1.18633
forest,82,1.693,1.18495
datasets,117,1.182,1.18063
world,98,1.405,1.17554
continental,81,1.693,1.1705
averaged,81,1.693,1.1705
predictors,81,1.693,1.1705
tasmin,49,2.792,1.16752
submitted,49,2.792,1.16752
zenodo,65,2.099,1.16422
pdf,97,1.405,1.16354
regime,64,2.099,1.14631
eastern,48,2.792,1.14369
tasmax,48,2.792,1.14369
patterns,134,1.0,1.14366
observational,79,1.693,1.1416
decade,79,1.693,1.1416
driven,133,1.0,1.13512
simulation,133,1.0,1.13512
uncertainty,133,1.0,1.13512
pre,112,1.182,1.13017
wet,63,2.099,1.1284
mate,93,1.405,1.11556
corrected,92,1.405,1.10357
provide,129,1.0,1.10098
version,109,1.182,1.0999
overshoot,46,2.792,1.09604
satellite,61,2.099,1.09258
work,128,1.0,1.09245
modeling,107,1.182,1.07972
orographic,45,2.792,1.07221
signi,45,2.792,1.07221
van,106,1.182,1.06963
records,89,1.405,1.06758
latitude,59,2.099,1.05676
