Word,Frequency,IDF,Score
carbon,611,1.47,46.70439
nanotubes,261,3.079,41.79368
plasma,153,3.079,24.49974
stars,162,1.981,16.68631
nanomaterials,77,3.079,12.32994
spectra,116,1.981,11.94822
irradiated,73,3.079,11.68942
tube,93,2.386,11.53998
defects,89,2.386,11.04364
sputtered,66,3.079,10.56852
fullerenes,64,3.079,10.24826
energy,179,1.0,9.30789
diameter,56,3.079,8.96723
emission,99,1.693,8.71622
nanostructures,54,3.079,8.64697
atoms,82,1.981,8.44615
species,95,1.693,8.36405
cid,146,1.0,7.59191
synthesis,84,1.693,7.39558
virus,46,3.079,7.36594
zigzag,45,3.079,7.20581
graphite,45,3.079,7.20581
defect,45,3.079,7.20581
kev,45,3.079,7.20581
electron,57,2.386,7.07289
pristine,44,3.079,7.04568
armchair,43,3.079,6.88555
thermal,89,1.47,6.8031
atomic,57,1.981,5.87111
vibrational,47,2.386,5.83203
peak,65,1.693,5.72277
tubes,44,2.386,5.45978
slpm,34,3.079,5.44439
antiviral,33,3.079,5.28426
mice,33,3.079,5.28426
fractal,33,3.079,5.28426
cell,60,1.693,5.28256
hyperwall,31,3.079,4.964
spectroscopy,40,2.386,4.96343
irradiation,40,2.386,4.96343
clusters,73,1.288,4.88798
graphitic,30,3.079,4.80387
spectrum,92,1.0,4.78394
kpa,38,2.386,4.71526
chiral,29,3.079,4.64374
nucleation,29,3.079,4.64374
peaks,52,1.693,4.57822
star,35,2.386,4.343
entropy,35,2.386,4.343
sputtering,27,3.079,4.32348
cascades,27,3.079,4.32348
growth,48,1.693,4.22604
ion,41,1.981,4.22308
temperature,71,1.134,4.18495
spikes,26,3.079,4.16336
formation,62,1.288,4.15144
metal,33,2.386,4.09483
jet,32,2.386,3.97075
collision,31,2.386,3.84666
electrodes,24,3.079,3.8431
viruses,24,3.079,3.8431
exposure,49,1.47,3.74552
wall,30,2.386,3.72257
emitted,36,1.981,3.70807
fragmentation,23,3.079,3.68297
theoretic,23,3.079,3.68297
vacancies,29,2.386,3.59849
may,60,1.134,3.53658
mass,60,1.134,3.53658
wire,22,3.079,3.52284
continuum,21,3.079,3.36271
structure,64,1.0,3.32796
derivatives,32,1.981,3.29606
mode,43,1.47,3.28689
modes,37,1.693,3.25758
bonds,26,2.386,3.22623
electrode,20,3.079,3.20258
fabricated,20,3.079,3.20258
torch,20,3.079,3.20258
spike,19,3.079,3.04245
frequency,45,1.288,3.01314
information,51,1.134,3.00609
flow,39,1.47,2.98113
induced,44,1.288,2.94618
damage,28,1.981,2.88405
localized,28,1.981,2.88405
hexagons,18,3.079,2.88232
adma,18,3.079,2.88232
liver,18,3.079,2.88232
damaged,18,3.079,2.88232
densities,23,2.386,2.85397
energies,32,1.693,2.81736
mechanisms,42,1.288,2.81226
devices,31,1.693,2.72932
hexagonal,17,3.079,2.72219
nanostructure,17,3.079,2.72219
encapsulated,17,3.079,2.72219
like,52,1.0,2.70397
sheets,21,2.386,2.6058
function,50,1.0,2.59997
supercapacitor,16,3.079,2.56206
substrate,16,3.079,2.56206
bond,20,2.386,2.48172
selected,37,1.288,2.47747
properties,42,1.134,2.4756
material,32,1.47,2.44606
molecular,32,1.47,2.44606
candidates,32,1.47,2.44606
relative,47,1.0,2.44397
allotropes,15,3.079,2.40194
chirality,15,3.079,2.40194
nanoflakes,15,3.079,2.40194
morphology,15,3.079,2.40194
experimentally,15,3.079,2.40194
anions,15,3.079,2.40194
pressure,31,1.47,2.36962
candidate,31,1.47,2.36962
plotted,31,1.47,2.36962
molecules,23,1.981,2.36904
precursor,23,1.981,2.36904
atom,23,1.981,2.36904
ions,19,2.386,2.35763
intensity,35,1.288,2.34355
temperatures,30,1.47,2.29318
probability,44,1.0,2.28797
reaction,22,1.981,2.26604
soluble,14,3.079,2.24181
resistive,14,3.079,2.24181
oxidative,14,3.079,2.24181
vacancy,14,3.079,2.24181
density,43,1.0,2.23597
display,29,1.47,2.21674
optical,25,1.693,2.20106
due,42,1.0,2.18397
gas,32,1.288,2.14268
potential,41,1.0,2.13197
type,36,1.134,2.12195
