Word,Frequency,IDF,Score
energy,2961,1.0,30.43697
electricity,1118,1.847,21.2296
cooling,749,2.253,17.34444
climate,1167,1.336,16.03223
consumption,744,1.847,14.12775
demand,1000,1.154,11.86385
power,721,1.154,8.55383
households,333,2.253,7.71121
transmission,325,2.253,7.52596
air,455,1.56,7.29444
temperature,606,1.154,7.18949
load,303,2.253,7.01651
conditioning,362,1.847,6.87398
residential,292,2.253,6.76179
buildings,274,2.253,6.34496
heat,428,1.336,5.87986
wind,308,1.847,5.84858
household,281,1.847,5.33588
heating,271,1.847,5.14599
building,428,1.154,5.07773
cid,477,1.0,4.90322
renewable,211,2.253,4.88608
scenarios,346,1.336,4.75334
national,153,2.946,4.63312
capacity,288,1.56,4.61714
weather,387,1.154,4.59131
countries,275,1.56,4.40873
urban,183,2.253,4.23769
income,221,1.847,4.19655
scenario,285,1.336,3.91533
electric,169,2.253,3.9135
behavioral,168,2.253,3.89034
appliances,165,2.253,3.82087
generation,274,1.336,3.76421
grid,271,1.336,3.72299
population,312,1.154,3.70152
extreme,299,1.154,3.54729
occupant,116,2.946,3.5127
country,179,1.847,3.39901
peak,174,1.847,3.30407
savings,109,2.946,3.30072
hourly,170,1.847,3.22811
housing,139,2.253,3.2188
sector,162,1.847,3.0762
prices,101,2.946,3.05847
economic,222,1.336,3.04983
resilience,130,2.253,3.01038
policy,187,1.56,2.99794
environmental,155,1.847,2.94328
cities,127,2.253,2.94091
comfort,126,2.253,2.91776
conditions,243,1.154,2.88291
variables,241,1.154,2.85919
regional,202,1.336,2.77507
space,229,1.154,2.71682
drought,117,2.253,2.70935
variable,215,1.154,2.55073
cost,214,1.154,2.53886
kwh,109,2.253,2.52409
summer,132,1.847,2.50654
price,108,2.253,2.50093
humidity,108,2.253,2.50093
emissions,129,1.847,2.44957
annual,129,1.847,2.44957
demands,152,1.56,2.43682
management,150,1.56,2.40476
information,201,1.154,2.38463
across,230,1.0,2.36424
socio,124,1.847,2.35462
solar,198,1.154,2.34904
ownership,101,2.253,2.33884
demographic,77,2.946,2.3317
thermal,144,1.56,2.30857
daily,167,1.336,2.29424
growth,120,1.847,2.27867
nature,98,2.253,2.26937
appliance,74,2.946,2.24086
investments,95,2.253,2.1999
temperatures,136,1.56,2.18032
cooperative,72,2.946,2.18029
term,183,1.154,2.17108
studies,209,1.0,2.14837
commercial,113,1.847,2.14575
efficiency,207,1.0,2.12781
occupants,70,2.946,2.11973
access,111,1.847,2.10777
review,153,1.336,2.10191
supply,131,1.56,2.10016
behavioural,69,2.946,2.08945
available,176,1.154,2.08804
design,148,1.336,2.03322
control,148,1.336,2.03322
baseline,107,1.847,2.03181
events,197,1.0,2.02502
behaviour,147,1.336,2.01948
devices,106,1.847,2.01282
due,193,1.0,1.9839
socioeconomic,65,2.946,1.96832
environment,122,1.56,1.95587
expenditure,83,2.253,1.92201
moderate,83,2.253,1.92201
regions,186,1.0,1.91195
set,186,1.0,1.91195
production,161,1.154,1.91008
planning,137,1.336,1.8821
www,183,1.0,1.88111
regression,158,1.154,1.87449
home,98,1.847,1.86091
technologies,116,1.56,1.85968
costs,114,1.56,1.82762
potential,177,1.0,1.81943
historical,132,1.336,1.81341
adaptation,113,1.56,1.81159
climatic,78,2.253,1.80623
office,59,2.946,1.78663
framework,150,1.154,1.77958
may,149,1.154,1.76771
network,128,1.336,1.75846
characteristics,128,1.336,1.75846
