Word,Frequency,IDF,Score
cid,1144,1.0,24.99727
que,223,3.079,15.00525
clima,156,3.079,10.49695
brain,200,2.386,10.42847
por,194,2.386,10.11561
evy,110,3.079,7.40169
network,252,1.288,7.09048
temperatura,91,3.079,6.12322
tas,116,2.386,6.04851
correccio,85,3.079,5.71949
asymptotic,107,2.386,5.57923
statistical,187,1.288,5.26159
kernel,138,1.693,5.10552
quantum,133,1.693,4.92054
ctrica,73,3.079,4.91203
tico,73,3.079,4.91203
rmica,70,3.079,4.71017
horaria,68,3.079,4.57559
sesgo,66,3.079,4.44102
cada,66,3.079,4.44102
variables,172,1.134,4.26019
ele,81,2.386,4.22353
function,192,1.0,4.19535
networks,166,1.134,4.11157
matrix,146,1.288,4.10798
exp,94,1.981,4.06857
hora,59,3.079,3.97
covariance,106,1.693,3.92163
functional,121,1.47,3.8866
distance,153,1.134,3.78958
statistics,145,1.134,3.59144
functions,121,1.288,3.40456
resolucio,50,3.079,3.36441
probability,152,1.0,3.32132
kernels,76,1.981,3.28948
log,126,1.134,3.12083
sistema,46,3.079,3.09525
tica,59,2.386,3.0764
distribution,140,1.0,3.05911
state,107,1.288,3.01064
random,118,1.134,2.92269
finite,78,1.693,2.88573
sample,132,1.0,2.8843
eventos,42,3.079,2.8261
zona,42,3.079,2.8261
semimetric,42,3.079,2.8261
inference,87,1.47,2.7945
mayor,41,3.079,2.75881
estimation,97,1.288,2.72927
estimator,52,2.386,2.7114
sensibilidad,40,3.079,2.69153
ticas,51,2.386,2.65926
information,104,1.134,2.57593
subestaciones,38,3.079,2.55695
modelos,49,2.386,2.55497
series,103,1.134,2.55116
mediante,37,3.079,2.48966
espacial,37,3.079,2.48966
referencia,37,3.079,2.48966
rico,37,3.079,2.48966
connectivity,57,1.981,2.46711
horas,36,3.079,2.42237
bound,97,1.134,2.40255
inequality,54,1.981,2.33726
class,94,1.134,2.32824
may,93,1.134,2.30347
fmri,34,3.079,2.2878
estimators,34,3.079,2.2878
asymptotically,33,3.079,2.22051
proyecciones,33,3.079,2.22051
distribucio,33,3.079,2.22051
durante,33,3.079,2.22051
nivel,33,3.079,2.22051
presenta,33,3.079,2.22051
crudo,33,3.079,2.22051
max,69,1.47,2.21633
subestacio,32,3.079,2.15322
python,32,3.079,2.15322
histo,32,3.079,2.15322
duracio,31,3.079,2.08593
extremos,31,3.079,2.08593
tesis,31,3.079,2.08593
set,94,1.0,2.05397
states,47,1.981,2.03428
matrices,39,2.386,2.03355
energy,93,1.0,2.03212
final,72,1.288,2.02585
weighted,63,1.47,2.0236
metric,63,1.47,2.0236
nonstationary,30,3.079,2.01864
sampler,30,3.079,2.01864
estad,30,3.079,2.01864
tricas,30,3.079,2.01864
cio,30,3.079,2.01864
candidate,62,1.47,1.99148
defined,80,1.134,1.98148
sfcwind,38,2.386,1.98141
rsds,38,2.386,1.98141
following,90,1.0,1.96657
space,79,1.134,1.95671
magnitud,29,3.079,1.95136
deteccio,29,3.079,1.95136
consider,69,1.288,1.94144
problem,78,1.134,1.93194
satisfying,37,2.386,1.92927
vector,60,1.47,1.92724
bounded,60,1.47,1.92724
min,59,1.47,1.89512
theory,67,1.288,1.88517
lisis,28,3.079,1.88407
hod,28,3.079,1.88407
now,76,1.134,1.88241
order,86,1.0,1.87917
