Word,Frequency,IDF,Score
gamma,253,2.253,58.86079
cosmic,140,2.946,42.59294
ray,196,1.847,37.39238
rays,126,2.253,29.31407
astro,89,2.946,27.07694
neutrino,84,2.253,19.54271
shadow,71,2.253,16.51825
flux,78,1.847,14.88064
cid,143,1.0,14.76815
energy,138,1.0,14.25178
neutrinos,44,2.946,13.38635
solar,102,1.154,12.15774
background,70,1.56,11.27472
photons,36,2.946,10.95247
cuts,46,2.253,10.70196
bin,51,1.847,9.72965
angular,41,2.253,9.53871
events,91,1.0,9.39791
coincidence,30,2.946,9.12706
bins,37,2.253,8.6081
scrambled,28,2.946,8.51859
excess,42,1.847,8.01265
hadron,33,2.253,7.67749
disk,32,2.253,7.44484
emission,37,1.847,7.05876
deg,22,2.946,6.69318
sky,38,1.56,6.12056
shower,20,2.946,6.08471
energies,31,1.847,5.9141
counts,23,2.253,5.35098
signal,44,1.154,5.24451
prints,17,2.946,5.172
expected,48,1.0,4.95714
upper,41,1.154,4.88693
showers,16,2.946,4.86776
hep,16,2.946,4.86776
spectrum,47,1.0,4.85387
distribution,46,1.0,4.75059
source,46,1.0,4.75059
datasets,39,1.154,4.64855
sources,44,1.0,4.54405
sensitivity,38,1.154,4.52935
multiplicity,14,2.946,4.25929
declination,14,2.946,4.25929
photon,18,2.253,4.18772
significance,40,1.0,4.13095
detector,21,1.847,4.00633
null,29,1.336,4.00265
hadronic,13,2.946,3.95506
xico,13,2.946,3.95506
etal,38,1.0,3.9244
minimum,31,1.154,3.695
unscrambled,12,2.946,3.65082
fake,12,2.946,3.65082
ged,12,2.946,3.65082
array,19,1.847,3.62477
test,35,1.0,3.61458
limits,30,1.154,3.57581
air,22,1.56,3.54348
above,34,1.0,3.51131
coincidences,11,2.946,3.34659
inj,11,2.946,3.34659
note,14,2.253,3.25712
position,27,1.154,3.21822
likelihood,26,1.154,3.09903
dataset,26,1.154,3.09903
uncertainties,19,1.56,3.06028
constrain,10,2.946,3.04235
zenith,10,2.946,3.04235
separations,10,2.946,3.04235
maximum,25,1.154,2.97984
statistic,21,1.336,2.89847
magnetic,15,1.847,2.86166
coincident,12,2.253,2.79182
radius,12,2.253,2.79182
resolution,23,1.154,2.74145
hemisphere,9,2.946,2.73812
arrival,9,2.946,2.73812
ecnacfiingis,9,2.946,2.73812
alarm,9,2.946,2.73812
anisotropy,9,2.946,2.73812
work,26,1.0,2.68512
particles,14,1.847,2.67088
map,22,1.154,2.62226
regions,25,1.0,2.58184
fit,25,1.0,2.58184
grants,11,2.253,2.55916
string,11,2.253,2.55916
subtracted,11,2.253,2.55916
event,21,1.154,2.50306
temporal,21,1.154,2.50306
threshold,18,1.336,2.48441
grant,13,1.847,2.48011
search,24,1.0,2.47857
due,24,1.0,2.47857
emitting,8,2.946,2.43388
blazar,8,2.946,2.43388
injected,8,2.946,2.43388
ascension,8,2.946,2.43388
thus,8,2.946,2.43388
kpc,8,2.946,2.43388
hits,8,2.946,2.43388
lanoitcarf,8,2.946,2.43388
spectral,15,1.56,2.41601
edu,20,1.154,2.38387
water,20,1.154,2.38387
off,20,1.154,2.38387
right,20,1.154,2.38387
distributions,23,1.0,2.3753
full,23,1.0,2.3753
detected,17,1.336,2.34638
separation,17,1.336,2.34638
searches,10,2.253,2.32651
discovery,12,1.847,2.28933
maps,19,1.154,2.26468
angle,16,1.336,2.20836
obtained,21,1.0,2.16875
simulated,18,1.154,2.14548
top,18,1.154,2.14548
ortsa,7,2.946,2.12965
psu,7,2.946,2.12965
observatories,7,2.946,2.12965
hadroncuts,7,2.946,2.12965
dark,11,1.847,2.09855
northern,9,2.253,2.09386
clouds,9,2.253,2.09386
isotropic,9,2.253,2.09386
cycle,15,1.336,2.07034
red,20,1.0,2.06548
near,17,1.154,2.02629
origin,12,1.56,1.93281
coordinates,12,1.56,1.93281
cloud,12,1.56,1.93281
false,12,1.56,1.93281
detectors,10,1.847,1.90777
pixels,10,1.847,1.90777
period,16,1.154,1.9071
spectra,8,2.253,1.86121
below,18,1.0,1.85893
function,18,1.0,1.85893
mtu,6,2.946,1.82541
giant,6,2.946,1.82541
noitaived,6,2.946,1.82541
transit,6,2.946,1.82541
pixel,13,1.336,1.79429
further,15,1.154,1.7879
spatial,15,1.154,1.7879
molecular,11,1.56,1.77174
atmosphere,11,1.56,1.77174
detection,17,1.0,1.75565
systematic,17,1.0,1.75565
cutoff,9,1.847,1.717
transient,9,1.847,1.717
deficit,9,1.847,1.717
fluctuations,9,1.847,1.717
band,9,1.847,1.717
limit,14,1.154,1.66871
fraction,12,1.336,1.65627
calculated,12,1.336,1.65627
like,16,1.0,1.65238
uncertainty,16,1.0,1.65238
tion,16,1.0,1.65238
bright,7,2.253,1.62856
bursts,7,2.253,1.62856
roughly,7,2.253,1.62856
electromagnetic,7,2.253,1.62856
neu,7,2.253,1.62856
atmospheric,10,1.56,1.61067
panel,10,1.56,1.61067
statistical,13,1.154,1.54952
corresponds,13,1.154,1.54952
left,13,1.154,1.54952
hypothesis,13,1.154,1.54952
acknowledge,8,1.847,1.52622
cut,8,1.847,1.52622
trials,8,1.847,1.52622
spatio,8,1.847,1.52622
wisc,5,2.946,1.52118
livetime,5,2.946,1.52118
stnuoc,5,2.946,1.52118
subtraction,5,2.946,1.52118
hotspot,5,2.946,1.52118
located,11,1.336,1.51825
residual,11,1.336,1.51825
support,14,1.0,1.44583
ing,14,1.0,1.44583
highest,14,1.0,1.44583
line,14,1.0,1.44583
field,14,1.0,1.44583
bound,14,1.0,1.44583
region,14,1.0,1.44583
detect,12,1.154,1.43032
consistent,12,1.154,1.43032
result,12,1.154,1.43032
matter,12,1.154,1.43032
localization,6,2.253,1.39591
incoming,6,2.253,1.39591
centered,10,1.336,1.38023
simulation,13,1.0,1.34256
respectively,13,1.0,1.34256
set,13,1.0,1.34256
scale,13,1.0,1.34256
interactions,13,1.0,1.34256
fields,13,1.0,1.34256
triggered,7,1.847,1.33544
cross,11,1.154,1.31113
analyses,11,1.154,1.31113
evidence,11,1.154,1.31113
correlated,11,1.154,1.31113
obtain,11,1.154,1.31113
row,11,1.154,1.31113
mission,8,1.56,1.28854
hard,9,1.336,1.2422
calculate,9,1.336,1.2422
true,9,1.336,1.2422
produce,12,1.0,1.23929
area,12,1.0,1.23929
correlation,12,1.0,1.23929
point,12,1.0,1.23929
hawc,4,2.946,1.21694
sissa,4,2.946,1.21694
leptonic,4,2.946,1.21694
cosmicrays,4,2.946,1.21694
archival,4,2.946,1.21694
protons,4,2.946,1.21694
hemispheres,4,2.946,1.21694
binned,4,2.946,1.21694
trino,4,2.946,1.21694
unexpected,4,2.946,1.21694
excursion,4,2.946,1.21694
excursions,4,2.946,1.21694
searched,4,2.946,1.21694
blazars,4,2.946,1.21694
trum,4,2.946,1.21694
interstellar,4,2.946,1.21694
hit,4,2.946,1.21694
tank,4,2.946,1.21694
skymap,4,2.946,1.21694
unblinded,4,2.946,1.21694
nomademe,4,2.946,1.21694
estimate,10,1.154,1.19194
sensitive,10,1.154,1.19194
differential,10,1.154,1.19194
distance,10,1.154,1.19194
corresponding,10,1.154,1.19194
transients,5,2.253,1.16326
equatorial,5,2.253,1.16326
nuclei,6,1.847,1.14466
ergy,6,1.847,1.14466
pseudo,6,1.847,1.14466
trial,6,1.847,1.14466
program,6,1.847,1.14466
width,6,1.847,1.14466
produced,11,1.0,1.13601
presented,11,1.0,1.13601
original,11,1.0,1.13601
way,11,1.0,1.13601
supported,11,1.0,1.13601
extending,7,1.56,1.12747
overlap,7,1.56,1.12747
exposure,7,1.56,1.12747
middle,7,1.56,1.12747
black,7,1.56,1.12747
particle,7,1.56,1.12747
yield,8,1.336,1.10418
ranking,8,1.336,1.10418
grid,8,1.336,1.10418
extended,9,1.154,1.07274
follow,9,1.154,1.07274
able,9,1.154,1.07274
individual,9,1.154,1.07274
theoretical,9,1.154,1.07274
details,9,1.154,1.07274
applying,9,1.154,1.07274
bottom,9,1.154,1.07274
window,9,1.154,1.07274
around,9,1.154,1.07274
part,10,1.0,1.03274
post,10,1.0,1.03274
relative,10,1.0,1.03274
flat,6,1.56,0.9664
law,6,1.56,0.9664
injection,6,1.56,0.9664
reconstruction,6,1.56,0.9664
spread,6,1.56,0.9664
fractional,6,1.56,0.9664
mail,7,1.336,0.96616
vixra,7,1.336,0.96616
joint,7,1.336,0.96616
degrees,7,1.336,0.96616
approximately,7,1.336,0.96616
blue,7,1.336,0.96616
assuming,7,1.336,0.96616
profile,7,1.336,0.96616
positions,5,1.847,0.95389
nasa,5,1.847,0.95389
fluxes,5,1.847,0.95389
angles,5,1.847,0.95389
reconstructed,5,1.847,0.95389
generate,8,1.154,0.95355
likely,8,1.154,0.95355
log,8,1.154,0.95355
compute,8,1.154,0.95355
view,8,1.154,0.95355
diffuse,4,2.253,0.93061
muon,4,2.253,0.93061
harder,4,2.253,0.93061
spec,4,2.253,0.93061
suppressed,4,2.253,0.93061
stars,4,2.253,0.93061
trigger,4,2.253,0.93061
summed,4,2.253,0.93061
efficiencies,4,2.253,0.93061
amplitude,4,2.253,0.93061
neutron,4,2.253,0.93061
parameters,9,1.0,0.92946
possible,9,1.0,0.92946
index,9,1.0,0.92946
including,9,1.0,0.92946
zero,9,1.0,0.92946
without,9,1.0,0.92946
sub,9,1.0,0.92946
ground,9,1.0,0.92946
petra,3,2.946,0.91271
gua,3,2.946,0.91271
excesses,3,2.946,0.91271
scram,3,2.946,0.91271
