Word,Frequency,IDF,Score
wine,153,2.946,47.89843
vineyards,43,2.946,13.46165
winemakers,34,2.946,10.6441
molecules,40,2.253,9.57604
local,84,1.0,8.92667
winemaking,28,2.946,8.76573
vineyard,28,2.946,8.76573
fermentation,24,2.946,7.51348
learning,55,1.154,6.74583
viticulture,21,2.946,6.57429
enotourism,21,2.946,6.57429
tourism,27,2.253,6.46383
sustainability,28,1.847,5.49674
materials,26,1.847,5.10412
environmental,26,1.847,5.10412
mini,26,1.847,5.10412
production,41,1.154,5.02871
social,34,1.336,4.82891
economic,33,1.336,4.68688
industry,32,1.336,4.54486
management,27,1.56,4.47499
yeast,13,2.946,4.0698
molecular,24,1.56,3.97777
sustainable,24,1.56,3.97777
cultural,24,1.56,3.97777
potentials,20,1.847,3.92624
acid,16,2.253,3.83042
multimodal,16,2.253,3.83042
exams,12,2.946,3.75674
intelligence,19,1.847,3.72993
com,35,1.0,3.71945
driven,29,1.154,3.55689
cid,33,1.0,3.50691
question,27,1.154,3.31159
issues,27,1.154,3.31159
training,26,1.154,3.18894
accuracy,26,1.154,3.18894
energies,16,1.847,3.141
shot,16,1.847,3.141
winery,10,2.946,3.13062
applications,22,1.336,3.12459
open,22,1.336,3.12459
structure,29,1.0,3.08183
potential,28,1.0,2.97556
etal,28,1.0,2.97556
processing,15,1.847,2.94468
products,24,1.154,2.94364
energy,27,1.0,2.86929
problem,23,1.154,2.82098
wineries,9,2.946,2.81755
tourist,9,2.946,2.81755
reasoning,19,1.336,2.69851
axis,25,1.0,2.65675
respondents,16,1.56,2.65184
customer,11,2.253,2.63341
heritage,11,2.253,2.63341
sentiment,11,2.253,2.63341
activities,18,1.336,2.55648
tastings,8,2.946,2.50449
optimization,20,1.154,2.45303
prompting,10,2.253,2.39401
water,19,1.154,2.33038
solutions,16,1.336,2.27243
set,21,1.0,2.23167
ing,21,1.0,2.23167
vibrational,7,2.946,2.19143
wines,7,2.946,2.19143
sugar,7,2.946,2.19143
ethanol,7,2.946,2.19143
grape,7,2.946,2.19143
istry,7,2.946,2.19143
tensopolis,7,2.946,2.19143
wina,7,2.946,2.19143
tourists,7,2.946,2.19143
functional,13,1.56,2.15462
atoms,9,2.253,2.15461
biodiversity,9,2.253,2.15461
including,20,1.0,2.1254
www,20,1.0,2.1254
possible,20,1.0,2.1254
source,20,1.0,2.1254
state,17,1.154,2.08508
support,19,1.0,2.01913
services,12,1.56,1.98888
virtual,10,1.847,1.96312
symbol,10,1.847,1.96312
regression,16,1.154,1.96242
space,16,1.154,1.96242
functions,16,1.154,1.96242
questionnaire,8,2.253,1.91521
apparatus,8,2.253,1.91521
few,18,1.0,1.91286
across,18,1.0,1.91286
interatomic,6,2.946,1.87837
provenance,6,2.946,1.87837
andcp,6,2.946,1.87837
piwa,6,2.946,1.87837
sourcemodels,6,2.946,1.87837
reduction,13,1.336,1.84635
comprehensive,13,1.336,1.84635
prediction,15,1.154,1.83977
often,15,1.154,1.83977
questions,15,1.154,1.83977
difficulty,11,1.56,1.82314
tions,17,1.0,1.80659
survey,17,1.0,1.80659
benchmarks,9,1.847,1.76681
waste,9,1.847,1.76681
areas,14,1.154,1.71712
